Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	25	28.735632183908045	2.498462082518503E-18	CRP, CSF2, CXCL8, PIK3CD, PIK3CB, HIF1A, TNF, MAPK1, GABPA, IL33, MIR21, MAPK14, IL4, IL1A, IL6, IL1B, TLR9, CD28, PPARG, CD46, TP53, MYD88, TLR3, NFE2L2, TLR2	87	519	19453	10.770602174827806	4.224899381538788E-15	4.224899381538788E-15	3.840136220830939E-15
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	22	25.287356321839084	2.0038026877112295E-16	CRP, IL1RN, CD40, CXCL8, IL15, ITGB2, IL18, PIK3CD, HMGB1, PTGS2, TNF, PIK3CG, IL1A, IL6, IL1B, TLR9, CCL2, MYD88, TLR3, HAVCR2, NFE2L2, TLR2	87	436	19453	11.282452810292103	3.7547742692822794E-13	1.6942151724598445E-13	1.5399223655060798E-13
GOTERM_BP_DIRECT	GO:0032722~positive regulation of chemokine production	11	12.643678160919542	4.726818287822063E-15	IL33, IL6, IL7, IL18, TLR9, HIF1A, TNF, MYD88, TLR3, HAVCR2, TLR2	87	45	19453	54.657215836526184	8.0727646789569E-12	2.6643499082357026E-12	2.4217065694608374E-12
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	16	18.39080459770115	8.7920183136703E-15	CD40, CXCL8, CSF2, ARG1, MIR21, HMGB1, MAPK14, TNF, IL1A, IL6, IL1B, MRC1, TLR9, CCL2, MYD88, HAVCR2	87	198	19453	18.06850110298386	1.4831358363665004E-11	3.71682574210412E-12	3.378333037027813E-12
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	25	28.735632183908045	3.864285791286355E-10	CD40, HMGB1, HIF1A, TNF, EGFR, GABPA, IL33, IFNB1, HGF, IL18, MAPK14, DCN, POMC, IL4, IL1A, IL6, IL1B, TLR9, CD28, PPARG, TP53, MYD88, TLR3, NFE2L2, TLR2	87	1232	19453	4.537291013584117	6.534504745081549E-7	1.3069014546130453E-7	1.1878814522414255E-7
GOTERM_BP_DIRECT	GO:0051897~positive regulation of protein kinase B signaling	12	13.793103448275861	5.623046490569034E-10	TGFB2, PIK3CA, HGF, IL18, CD28, PIK3CD, MIR21, PIK3CB, TNF, DCN, EGFR, PIK3CG	87	185	19453	14.50363466915191	9.508567068161611E-7	1.336509917731345E-7	1.2147934615925944E-7
GOTERM_BP_DIRECT	GO:0031663~lipopolysaccharide-mediated signaling pathway	8	9.195402298850574	6.125237766283077E-10	IL1B, IL18, MAPK1, CCL2, MAPK14, TNF, MYD88, TLR2	87	42	19453	42.59003831417624	1.0357772256552877E-6	1.336509917731345E-7	1.2147934615925944E-7
GOTERM_BP_DIRECT	GO:0006955~immune response	17	19.54022988505747	7.032349447032843E-10	IL1RN, CXCL8, CSF2, IL15, IL18, PIK3CD, FASLG, TNF, HLA-G, PIK3CG, IL4, IL1A, CXCL12, IL7, IL1B, CCL2, TLR2	87	510	19453	7.453256704980843	1.1891695341770259E-6	1.336509917731345E-7	1.2147934615925944E-7
GOTERM_BP_DIRECT	GO:0032733~positive regulation of interleukin-10 production	8	9.195402298850574	7.290258966071564E-10	IL4, IL6, HGF, TLR9, CD28, HMGB1, CD46, TLR2	87	43	19453	41.59957230686982	1.2327821232727132E-6	1.336509917731345E-7	1.2147934615925944E-7
GOTERM_BP_DIRECT	GO:0001819~positive regulation of cytokine production	9	10.344827586206897	7.903665983035748E-10	IL1A, IL33, IL15, IL1B, CD28, PIK3CD, MIR21, TNF, PIK3CG	87	70	19453	28.748275862068965	1.3365089434058675E-6	1.336509917731345E-7	1.2147934615925944E-7
