Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	17	19.54022988505747	2.656514629651214E-16	IL33, TGFB2, IL1RN, CSF2, IFNA1, IFNB1, IL15, IL18, FASLG, HMGB1, TNF, IL4, IL1A, IL6, IL7, IL1B, IFNL3	86	192	18967	19.527555717054263	6.705747068735946E-14	8.022674181546666E-14	7.358545524133862E-14
GOTERM_MF_DIRECT	GO:0005102~receptor binding	13	14.942528735632186	2.960108795444693E-7	TGFB2, HGF, FASLG, PLG, F2, HLA-G, POMC, CXCL12, ARTN, CCL2, REN, AGRP, IFNL3	86	412	18967	6.958991871754346	8.939130322527244E-5	4.4697642811214863E-5	4.0997506816909E-5
GOTERM_MF_DIRECT	GO:0005149~interleukin-1 receptor binding	5	5.747126436781609	4.937659245176134E-7	IL1A, IL1RN, IL1B, TLR9, MYD88	86	15	18967	73.51550387596899	1.49106228568896E-4	4.970576973477308E-5	4.55910536971263E-5
GOTERM_MF_DIRECT	GO:0008083~growth factor activity	9	10.344827586206897	8.261740375588433E-7	IL4, IL6, TGFB2, CXCL12, CSF2, IL7, ARTN, HGF, F2	86	167	18967	11.885740147611754	2.49473538697198E-4	5.212725460241797E-5	4.781208451943635E-5
GOTERM_MF_DIRECT	GO:0035004~phosphatidylinositol 3-kinase activity	4	4.597701149425287	8.63034016596324E-7	PIK3CA, PIK3CD, PIK3CB, PIK3CG	86	5	18967	176.43720930232558	2.6060242276571E-4	5.212725460241797E-5	4.781208451943635E-5
GOTERM_MF_DIRECT	GO:0005515~protein binding	77	88.50574712643679	1.1335885324761883E-6	CD40, IL1RN, CSF2, CXCL8, IFNA1, ITGB2, RAPH1, PIK3CD, FASLG, PIK3CB, HMGB1, TNF, PIK3CG, LGALS3, RNF19A, GRAP2, CASP3, MRC1, JAK3, GABPA, HAVCR2, ENTPD1, IL15, ARG1, HGF, IL18, AHSA1, F2, HLA-G, DCN, IL1A, POR, PIK3CA, IL1B, PPARG, CD46, TP53, CRK, TLR3, TLR2, PTGES, CRP, CFH, POLDIP2, PLG, HMGCR, PTGS2, HIF1A, EGFR, SOCS3, MUC1, SOCS1, ALOX5, MTCO2P12, CCL2, MAPK1, DMD, MSC, PDLIM7, SLAMF1, IL33, TGFB2, IFNB1, MAPK14, POMC, IL4, AIMP2, IL6, CXCL12, ARTN, IL7, ALB, CD28, PAEP, REN, MYD88, NFE2L2	86	12657	18967	1.341714576546483	3.422853378527435E-4	5.705728946796815E-5	5.233400391598402E-5
GOTERM_MF_DIRECT	GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity	4	4.597701149425287	3.0010677104984115E-6	PIK3CA, PIK3CD, PIK3CB, PIK3CG	86	7	18967	126.02657807308971	9.059132211545196E-4	1.1329030607131503E-4	1.0391196947600749E-4
GOTERM_MF_DIRECT	GO:0035005~1-phosphatidylinositol-4-phosphate 3-kinase activity	4	4.597701149425287	3.0010677104984115E-6	PIK3CA, PIK3CD, PIK3CB, PIK3CG	86	7	18967	126.02657807308971	9.059132211545196E-4	1.1329030607131503E-4	1.0391196947600749E-4
GOTERM_MF_DIRECT	GO:0052812~phosphatidylinositol-3,4-bisphosphate 5-kinase activity	4	4.597701149425287	7.155959318048691E-6	PIK3CA, PIK3CD, PIK3CB, PIK3CG	86	9	18967	98.02067183462532	0.0021587739350369395	2.401221904500783E-4	2.202445256777208E-4
GOTERM_MF_DIRECT	GO:0016303~1-phosphatidylinositol-3-kinase activity	4	4.597701149425287	1.018968148542067E-5	PIK3CA, PIK3CD, PIK3CB, PIK3CG	86	10	18967	88.21860465116279	0.0030725694540771897	3.0772838085970424E-4	2.822541771461526E-4
GOTERM_MF_DIRECT	GO:0052742~phosphatidylinositol kinase activity	4	4.597701149425287	4.6635575032756624E-5	PIK3CA, PIK3CD, PIK3CB, PIK3CG	86	16	18967	55.13662790697675	0.013985552723391081	0.0012803585145356817	0.0011743685712794169
GOTERM_MF_DIRECT	GO:0019903~protein phosphatase binding	6	6.896551724137931	5.515531030594542E-5	LGALS3, PPARG, MAPK14, TP53, JAK3, EGFR	86	91	18967	14.541528239202657	0.01651939633143107	0.0013880753093662931	0.0012731684128955733
